iter	Passed	Remaining
1354	21436	10204
1355	21448	10186
1356	21461	10169
1357	21474	10152
1358	21488	10135
1359	21501	10118
1360	21515	10101
1361	21529	10085
1362	21544	10068
1363	21558	10052
1364	21578	10038
1365	21592	10021
1366	21605	10004
1367	21620	9988
1368	21638	9973
1369	21654	9957
1370	21670	9942
1371	21685	9926
1372	21699	9909
1373	21713	9892
1374	21731	9877
1375	21745	9861
1376	21760	9845
1377	21773	9828
1378	21787	9811
1379	21802	9795
1380	21816	9778
1381	21830	9762
1382	21846	9746
1383	21861	9730
1384	21875	9713
1385	21889	9697
1386	21903	9680
1387	21916	9663
1388	21930	9646
1389	21943	9630
1390	21958	9613
1391	21971	9596
1392	21984	9579
1393	21999	9563
1394	22014	9547
1395	22028	9530
1396	22044	9515
1397	22058	9498
1398	22073	9482
1399	22087	9465
1400	22099	9448
1401	22112	9431
1402	22124	9414
1403	22136	9396
1404	22148	9379
1405	22161	9362
1406	22173	9345
1407	22185	9327
1408	22197	9310
1409	22210	9293
1410	22223	9276
1411	22235	9259
1412	22247	9242
1413	22259	9225
1414	22272	9208
1415	22285	9191
1416	22297	9174
1417	22311	9157
1418	22324	9140
1419	22337	9123
1420	22349	9106
1421	22362	9089
1422	22374	9072
1423	22387	9055
1424	22399	9038
1425	22412	9021
1426	22425	9004
1427	22437	8987
1428	22450	8970
1429	22463	8953
1430	22475	8936
1431	22488	8919
1432	22503	8904
1433	22515	8887
1434	22528	8870
1435	22542	8853
1436	22555	8836
1437	22572	8821
1438	22585	8805
1439	22598	8788
1440	22610	8771
1441	22622	8753
1442	22634	8736
1443	22646	8719
1444	22657	8702
1445	22670	8685
1446	22682	8668
1447	22694	8651
1448	22706	8634
1449	22718	8617
1450	22730	8600
1451	22742	8583
1452	22754	8566
1453	22767	8549
1454	22780	8532
1455	22792	8515
1456	22805	8499
1457	22818	8482
1458	22830	8465
1459	22842	8448
1460	22855	8431
1461	22867	8415
1462	22879	8397
1463	22890	8380
1464	22903	8364
1465	22915	8347
1466	22927	8330
1467	22939	8313
1468	22951	8296
1469	22963	8279
1470	22975	8262
1471	22990	8246
1472	23003	8229
1473	23016	8213
1474	23029	8196
1475	23041	8180
1476	23053	8163
1477	23066	8146
1478	23078	8129
1479	23092	8113
1480	23105	8097
1481	23119	8080
1482	23132	8064
1483	23144	8047
1484	23158	8031
1485	23173	8015
1486	23196	8002
1487	23218	7989
1488	23239	7975
1489	23275	7966
1490	23295	7952
1491	23310	7936
1492	23324	7920
1493	23339	7904
1494	23353	7888
1495	23366	7872
1496	23380	7855
1497	23394	7839
1498	23408	7823
1499	23422	7807
1500	23436	7791
1501	23452	7775
1502	23465	7759
1503	23479	7743
1504	23493	7727
1505	23507	7711
1506	23533	7698
1507	23552	7684
1508	23566	7668
1509	23581	7652
1510	23595	7636
1511	23609	7619
1512	23623	7603
1513	23638	7587
1514	23655	7572
1515	23678	7559
1516	23692	7543
1517	23705	7527
1518	23719	7511
1519	23732	7494
1520	23746	7478
1521	23759	7461
1522	23773	7445
1523	23786	7429
1524	23799	7412
1525	23812	7396
1526	23826	7380
1527	23841	7364
1528	23854	7348
1529	23868	7332
1530	23882	7316
1531	23897	7300
1532	23912	7284
1533	23927	7268
1534	23942	7252
1535	23955	7236
1536	23975	7222
1537	24001	7209
1538	24019	7195
1539	24035	7179
1540	24050	7163
1541	24064	7147
1542	24079	7131
1543	24093	7115
1544	24108	7099
1545	24121	7083
1546	24138	7068
1547	24153	7052
1548	24166	7036
1549	24181	7020
1550	24195	7004
1551	24209	6988
1552	24223	6972
1553	24237	6956
1554	24251	6940
1555	24265	6924
1556	24279	6908
1557	24293	6891
1558	24308	6876
1559	24322	6860
1560	24337	6844
1561	24351	6828
1562	24365	6812
1563	24381	6796
1564	24395	6780
1565	24410	6765
1566	24427	6749
1567	24443	6734
1568	24458	6718
1569	24474	6703
1570	24489	6687
1571	24505	6671
1572	24520	6656
1573	24535	6640
1574	24551	6624
1575	24568	6609
1576	24584	6594
1577	24600	6578
1578	24616	6563
1579	24630	6547
1580	24648	6532
1581	24668	6517
1582	24685	6502
1583	24701	6487
1584	24717	6471
1585	24734	6456
1586	24754	6442
1587	24781	6429
1588	24802	6415
1589	24823	6401
1590	24847	6387
1591	24875	6375
1592	24902	6362
1593	24920	6347
1594	24936	6331
1595	24952	6316
1596	24968	6300
1597	24985	6285
1598	25001	6269
1599	25017	6254
1600	25032	6238
1601	25048	6223
1602	25063	6207
1603	25077	6191
1604	25096	6176
1605	25115	6161
1606	25130	6145
1607	25149	6130
1608	25168	6116
1609	25183	6100
1610	25200	6084
1611	25214	6068
1612	25228	6053
1613	25242	6036
1614	25258	6021
1615	25274	6005
1616	25291	5990
1617	25311	5975
1618	25326	5960
1619	25339	5943
1620	25353	5927
1621	25367	5911
1622	25381	5895
1623	25394	5879
1624	25407	5863
1625	25421	5847
1626	25434	5831
1627	25448	5815
1628	25462	5798
1629	25474	5782
1630	25489	5766
1631	25502	5750
1632	25516	5734
1633	25530	5718
1634	25543	5702
1635	25557	5686
1636	25570	5670
1637	25583	5653
1638	25596	5637
1639	25609	5621
1640	25624	5605
1641	25637	5589
1642	25651	5573
1643	25665	5557
1644	25679	5541
1645	25694	5526
1646	25708	5510
1647	25722	5494
1648	25736	5478
1649	25749	5461
1650	25762	5445
1651	25776	5429
1652	25790	5413
1653	25804	5397
1654	25818	5382
1655	25833	5366
1656	25847	5350
1657	25861	5334
1658	25875	5318
1659	25889	5302
1660	25904	5286
1661	25918	5271
1662	25932	5255
1663	25946	5239
1664	25960	5223
1665	25974	5207
1666	25989	5191
1667	26001	5175
1668	26015	5159
1669	26029	5143
